Company,Slug,Score,Source
Warner Bros.,warner-bros,,a16z-speedrun
Flow,flow,,a16z-speedrun
Hypersonica,hypersonica,,a16z-speedrun
Heron Power,heron-power,,a16z-speedrun
PhysicsX,physicsx,,a16z-speedrun
Ferrovial,ferrovial,,a16z-speedrun
Basis,basis,,a16z-speedrun
Monolithic Power Systems,monolithic-power-systems,,a16z-speedrun
SingleStore,singlestore,,a16z-speedrun
Velo3D,velo3d,,a16z-speedrun
Arc Boat Company,arc-boat-company,,a16z-speedrun
NODA AI,noda-ai,,a16z-speedrun
Pennsylvania State University,pennsylvania-state-university,,a16z-speedrun
ARQ,arq,,a16z-speedrun
Raisin,raisin,,a16z-speedrun
Watershed,watershed,,a16z-speedrun
carwow,carwow,,a16z-speedrun
Composio,composio,,a16z-speedrun
Modal,modal-labs,,a16z-speedrun
Cartesia,cartesia,,a16z-speedrun
Strava,strava,,a16z-speedrun
Tacto,tacto,,a16z-speedrun
AfterQuery,afterquery,,a16z-speedrun
Netic,netic,,a16z-speedrun
Imprint,imprint,,a16z-speedrun
Upvest,upvest,,a16z-speedrun
Nomagic,nomagic,,a16z-speedrun
distylai,distylai,,a16z-speedrun
Savvy,savvy,,a16z-speedrun
Cape,cape,,a16z-speedrun
DOSS.COM,doss-com,,a16z-speedrun
Harper,harper,,a16z-speedrun
Teledyne,teledyne,,a16z-speedrun
WindBorne Systems,windborne-systems,,a16z-speedrun
Dust,dust,,a16z-speedrun
Picogrid,picogrid,,a16z-speedrun
Taxfix,taxfix,,a16z-speedrun
Vinci4D.ai,vinci4d-ai,,a16z-speedrun
Wordsmith AI,wordsmith-ai,,a16z-speedrun
Brigit,brigit,,a16z-speedrun
Flow Engineering,flow-engineering,,a16z-speedrun
Reevoai,reevoai,,a16z-speedrun
Wonderful,wonderful,,a16z-speedrun
Formation Bio,formation-bio,,a16z-speedrun
Latent,latent,,a16z-speedrun
BetterUp,betterup,,a16z-speedrun
Human Archive,human-archive,,a16z-speedrun
lemon.markets,lemon-markets,,a16z-speedrun
Lightfield,lightfield,,a16z-speedrun
Parallel Web Systems,parallel-web-systems,,a16z-speedrun
Arena,arena,,a16z-speedrun
Armis,armis,,a16z-speedrun
Inworld AI,inworld-ai,,a16z-speedrun
Phonely,phonely,,a16z-speedrun
Triomics,triomics,,a16z-speedrun
Vectra,vectra,,a16z-speedrun
Crosby,crosby,,a16z-speedrun
Eudia,eudia,,a16z-speedrun
Etched,etched,,a16z-speedrun
Forward Networks,forward-networks,,a16z-speedrun
Garage,garage,,a16z-speedrun
Homebase,homebase,,a16z-speedrun
Outset,outset,,a16z-speedrun
Reindeer AI,reindeer-ai,,a16z-speedrun
Resolve AI,resolve-ai,,a16z-speedrun
Triumph,triumph,,a16z-speedrun
Layer Health,layer-health,,a16z-speedrun
Linero,linero,,a16z-speedrun
LiteLLM,litellm,,a16z-speedrun
Moment,moment,,a16z-speedrun
SharkNinja,sharkninja,,a16z-speedrun
Simile,simile,,a16z-speedrun
Solve Intelligence,solve-intelligence,,a16z-speedrun
Talos,talos,,a16z-speedrun
Tavus,tavus,,a16z-speedrun
Town,town,,a16z-speedrun
Valerie Health,valerie-health,,a16z-speedrun
Aviatrix,aviatrix,,a16z-speedrun
Favorited,favorited,,a16z-speedrun
Kaizen Labs,kaizen-labs,,a16z-speedrun
Mirendil,mirendil,,a16z-speedrun
Substack,substack,,a16z-speedrun
Dorsia,dorsia,,a16z-speedrun
Live Nation Entertainment,live-nation-entertainment,,a16z-speedrun
Moo,moo,,a16z-speedrun
Nox Metals,nox-metals,,a16z-speedrun
Ohalo Genetics,ohalo-genetics,,a16z-speedrun
Pallet,pallet,,a16z-speedrun
PointOne,pointone,,a16z-speedrun
Thread AI,thread-ai,,a16z-speedrun
AKASA,akasa,,a16z-speedrun
Auctor,auctor,,a16z-speedrun
Conduct,conduct,,a16z-speedrun
CRED,cred,,a16z-speedrun
Expedia Group,expedia-group,,a16z-speedrun
Mercura,mercura,,a16z-speedrun
Partiful,partiful,,a16z-speedrun
PointFive,pointfive,,a16z-speedrun
Variance,variance,,a16z-speedrun
Vital Lyfe,vital-lyfe,,a16z-speedrun
Vizcom,vizcom,,a16z-speedrun
Ascend,ascend,,a16z-speedrun
ChipAgents,chipagents,,a16z-speedrun
Clarion,clarion,,a16z-speedrun
Relevance AI,relevance-ai,,a16z-speedrun
Sapien,sapien,,a16z-speedrun
Sygaldry Technologies,sygaldry-technologies,,a16z-speedrun
Vooma,vooma,,a16z-speedrun
Vori,vori,,a16z-speedrun
Ankar AI,ankar-ai,,a16z-speedrun
Bounce,bounce,,a16z-speedrun
F2,f2,,a16z-speedrun
Genesis Molecular AI,genesis-molecular-ai,,a16z-speedrun
Inceptive,inceptive,,a16z-speedrun
Luminai,luminai,,a16z-speedrun
Macroscope,macroscope,,a16z-speedrun
Notable,notable,,a16z-speedrun
Pika,pika,,a16z-speedrun
Simular,simular,,a16z-speedrun
Sofar Sounds,sofar-sounds,,a16z-speedrun
